Player,Batting Form,Bowling Form,Fielding Form
A Zampa,27.109856454194578,73.39535624943117,30.54703978756132
AAP Atkinson,36.841039854417666,51.209588996743314,30.243446522256857
AK Markram,81.61147870416094,30.167102465350506,59.13444689091053
AM Hardie,35.925133599805484,43.59340431889356,40.99151823093929
AR Patel,41.00687851088429,38.82509141036724,32.22037104488908
AT Carey,69.28867491389413,43.5848814210451,80.75216776092762
AU Rashid,24.950467473381014,54.62648722251218,38.85111191507305
Abrar Ahmed,31.808096551511227,70.61364737136691,35.61673328680592
Agha Salman,53.326416151317396,50.78477057291599,47.27358886511262
Arshdeep Singh,32.122401634758496,73.38149920215749,33.462984836410264
Azmatullah Omarzai,73.27202734225645,56.77043473811271,32.47576945877044
BA Carse,36.806125177931456,47.176431236863,45.118266744235804
BJ Dwarshuis,10.234446090913181,38.37001825597221,26.974604171651873
BM Duckett,90.12430320740134,43.5848814210451,32.081857333941585
Babar Azam,74.65698731864526,43.5848814210451,40.179966339946446
Bilal Sami,10.234446090913181,26.091577018303425,41.07661766585241
C Bosch,35.767397427087964,24.592830003349054,26.974604171651873
C Connolly,11.350760695205974,35.196178030068936,26.974604171651873
DA Miller,77.26700711846695,43.5848814210451,69.20874989334091
DJ Mitchell,93.81390025778093,34.39856123343512,69.00064271224024
DP Conway,83.757123023659,43.5848814210451,64.26299235789173
Faheem Ashraf,17.82307257439081,33.56492339462606,41.933855959153945
Fakhar Zaman,80.2118511417733,43.5848814210451,51.98155021340489
Fazalhaq Farooqi,10.96922513175128,51.76104977274092,29.24636542996458
GD Phillips,70.74674525959075,35.90688979779527,58.0183404171777
GJ Maxwell,81.27954108155673,57.963134720786314,56.76948361917816
Gulbadin Naib,36.940974014724624,38.40710874006663,37.93808320688373
H Klaasen,95.58476697694323,43.5848814210451,92.83364187352461
HC Brook,75.59374932028562,43.5848814210451,30.39505314122251
HE van der Dussen,74.4233185223374,43.5848814210451,52.56008400287785
HH Pandya,51.6366177058737,55.02588141032535,34.92343653514503
Haris Rauf,29.76254069048713,76.1132258463492,34.084540855228724
Harshit Rana,10.234446090913181,56.223210935880445,26.974604171651873
Hashmatullah Shahidi,55.244535433239456,43.5848814210451,34.782832803464565
Ibrahim Zadran,77.21630454809797,43.5848814210451,42.721734213153546
Ikram Alikhil,28.44056770035133,43.5848814210451,95.82409324358521
J Overton,30.853440492133494,42.29627452078087,26.974604171651873
JA Duffy,12.261259194179697,64.27239779241589,26.974604171651873
JC Archer,35.503035775045376,34.68868303541792,29.899964140126695
JC Buttler,66.19001099830164,43.5848814210451,97.97734082435656
JE Root,53.49903319679045,31.352782292305672,51.907516692499485
JL Smith,55.15596454956301,43.5848814210451,81.18318716616685
JP Inglis,66.67912654940952,43.5848814210451,99.69153040711032
K Rabada,29.440930159551826,74.08139267452528,60.10927933866871
KA Jamieson,36.72305219768977,49.576856307680444,26.974604171651873
KA Maharaj,24.26370681076772,78.87967277169659,48.339357678796
KL Rahul,75.77386640208267,43.5848814210451,99.98157671859103
KS Williamson,72.40665686572868,43.5848814210451,35.5650102254872
Kamran Ghulam,60.59855373536665,40.83957196727468,46.82556942760548
Khushdil Shah,29.193081007900574,26.97330229939092,41.07661766585241
Kuldeep Yadav,12.649447167142155,71.89252868269077,32.99891177773207
L Ngidi,15.859433091514965,66.97390281923582,36.84134549842808
